"Kashmir Shaivism and Trika Lineage: Gurus, Texts, and Teachings",,,,,,
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Śiva,Primordial,"Supreme deity, source of all transmissions",Original Āgamas,"Ultimate non-dual reality, source of all manifestation",Revealed original tantras through his five faces,"Mentioned in Śivadṛṣṭi, Tantrāloka (Sanderson, 1988)"
Bhairava,Primordial,Fierce form of Śiva,Bhairava Tantras,"Transgressive practices, fierce liberation",Eight Bhairavas as cosmic forces,"Referenced in Netra Tantra, Svacchanda Tantra (Flood, 1993)"
Śrīkaṇṭha,Divine,Received teachings from Śiva,Transmitted original Āgamas,Initial systematization of revelation,Considered a form of Śiva,"Mentioned in Īśvarapratyabhijñāvimarśinī (Torella, 2002)"
Durvāsas,Semi-divine,Son of Śiva and Parvatī,None specific,Transmitted knowledge to human gurus,"Hot-tempered sage, embodiment of Śiva's anger","Mentioned in Mālinīvijayottara Tantra, Śivasūtravārttika (Dyczkowski, 1987)"
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Tryambaka,Ancient,First human recipient,None extant,Original human transmitter of Trika,"Three-eyed sage, received knowledge from gods","Referenced in Tantrāloka (Sanderson, 2007)"
Amardaka,Ancient,Disciple of divine lineage,None extant,Early systematization,Founded monastery in Maharashtra,"Mentioned in Tantrāloka (Sanderson, 1988)"
Śrīnātha,c. 4th-5th c. CE,Early transmitter,None extant,Early Trika formulations,Connection to Śiva through meditation,"Referenced in Mālinīślokavārttika (Hanneder, 1998)"
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Sangamaditya,c. 700-750 CE,Early Kashmir Shaiva figure,None extant,"Unknown, early transmission",Grandfather of Vasugupta,"Mentioned in Śivasūtravimārśinī (Dyczkowski, 1992)"
Vasugupta,c. 800-850 CE,Founder of Kashmir Shaivism proper,Śiva Sūtras (revealed),Foundational aphorisms of non-dualism,Discovered Śiva Sūtras engraved on stone at Mahadeva mountain,"Historical references in commentaries, Kashmiri chronicles (Sanderson, 1985)"
Bhatta Kallata,c. 850-900 CE,Direct disciple of Vasugupta,"Spandakārikā, Spandavṛtti",Spanda (divine vibration) doctrine,"Seen as incarnation of Kartikeya, Śiva's son","Historical figure, mentioned in Rajatarangini (Dyczkowski, 1987)"
Pradyumna Bhatta,c. 850-900 CE,Disciple of Vasugupta,None extant,Early Spanda teachings,Limited information,"Mentioned in Spandavṛtti (Singh, 1980)"
Prajñārjuna,c. 850-900 CE,Disciple of Vasugupta,None extant,Early Spanda teachings,Limited information,"Mentioned in Tantrāloka (Gnoli, 1999)"
Śiva Śrī Soma,c. 875-925 CE,Disciple in Krama lineage,None extant,Early Krama teachings,Connection to goddess lineages,"Mentioned in Tantrāloka (Sanderson, 2007)"
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Somānanda,c. 875-925 CE,Founder of Pratyabhijñā,Śivadṛṣṭi,"Recognition philosophy, critique of Buddhist logic",Claimed descent from sage Durvāsas,"Historical figure, referenced in commentaries (Torella, 2002)"
Utpaladeva,c. 900-950 CE,Disciple of Somānanda,"Īśvarapratyabhijñākārikā, Īśvarapratyabhijñāvṛtti, Īśvarapratyabhijñāvivṛti, Siddhitrayī","Recognition (pratyabhijñā) philosophy, refined epistemology",Master of argumentation and poetics,"Historical figure, major philosopher (Torella, 2002; Rastogi, 2002)"
Lakṣmaṇagupta,c. 925-975 CE,"Disciple of Utpaladeva, teacher of Abhinavagupta",None extant,Pratyabhijñā and Krama synthesis,Transmitted tantric initiation to Abhinavagupta,"Historical figure, mentioned in Tantrāloka (Sanderson, 1987)"
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Jñānanetra/Śivananda,c. 850-900 CE,Early Krama master,None extant,"Sequential realization, goddess-focused",Used poison-eating practice to attain siddhi,"Mentioned in Tantrāloka (Sanderson, 2007)"
Keyūravati,c. 850-900 CE,Female disciple of Śivananda,None extant,Female tantric transmission,Powerful yogini and teacher,"Mentioned in Tantrāloka (Sanderson, 2007)"
Govindarāja,c. 875-925 CE,Krama lineage holder,None extant,Krama esoteric practices,Limited information,"Mentioned in Mahanayaprakasa (Silburn, 1975)"
Bhaṭṭa Damodara,c. 900-950 CE,Krama teacher of Abhinavagupta,None extant,Krama rituals and philosophy,Limited information,"Mentioned in Tantrāloka (Sanderson, 2007)"
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Sambhunatha,c. 900-950 CE,Tantric guru of Abhinavagupta,None extant,"Kula doctrines, tantric ritual","From South India, initiated Abhinavagupta into Trika-Kula","Historical figure, mentioned extensively in Tantrāloka (Sanderson, 1988)"
Śambhunātha,c. 900-950 CE,Tantric guru from Jalandhara,None extant,Advanced Trika-Kula synthesis,Son of Iśānasiva,"Historical figure, mentioned in Tantrāloka (Muller-Ortega, 1989)"
Figure,Period,Relationship,Core Texts Attributed,Main Concepts/Teachings,Mythological/Hagiographical Elements,Historical Sources
Abhinavagupta,c. 950-1025 CE,Supreme synthesizer,"Tantrāloka, Tantrasāra, Parātriṃśikāvivaraṇa, Īśvarapratyabhijñāvimarśinī, Abhinavabhāratī, Parātrīśikālaghuvṛtti, Mālinīvijayavārttika, Paramārthasāra, Bodhapañcadaśikā, Ghaṭakarpara-kulakakāvyaṭīkā, Kramastotra","Complete integration of Trika, Krama, Pratyabhijñā, and Kula; aesthetics theory; sophisticated ritual theory","Said to have entered Bhairava cave with 1,200 disciples and disappeared; considered an incarnation of Śiva","Multiple historical sources, most comprehensive Kashmir Shaiva philosopher (Rastogi, 1987; Gnoli, 1999; Sanderson, 1987)"
Kṣemarāja,c. 1000-1050 CE,Chief disciple of Abhinavagupta,"Śivasūtravimarśinī, Spandanirṇaya, Pratyabhijñāhṛdaya, Svacchandatantroddyota, Netratantroddyota, Vijñānabhairavadīpikā, Stavacintāmaṇi, Parāprāveśikā","Accessible explanations of non-dual Shaivism, commentaries on core texts",Devoted disciple who systematized teachings,"Historical figure, major commentator (Dyczkowski, 1992; Singh, 1979)"
Yogarāja,c. 1025-1075 CE,Disciple of Abhinavagupta,Paramārthasāravivaraṇa,Clarification of essential teachings,Limited information,"Historical figure, commentator (Bansat-Boudon, 2011)"
Jayaratha,c. 1150-1200 CE,Later lineage holder,Tantrālokaviveka (commentary on Tantrāloka),Detailed explanations of Tantrāloka,Limited information,"Historical figure, important commentator (Rastogi, 1987)"
